	Acceleration	Available from	Braking	Default Radio Stations	Discounted Price	Drive Train	Game Edition	Gears	Handling	Manufacturer	Mass / Weight	Notes	Overall	Purchase Price	Release Date	Seats	Sell	Sell Price - Resale	Sell Price - Stolen	Speed	Storage Location	Title Update	Top Speed	Variants	Vehicle Class	Vehicle Features
annis-elegy-rh8.html	82.50	Legendary Motorsport, Benny's Original Motor Works	16.67	Space 103.2, The Lowdown 91.1		AWD	All Editions	6	81.82	Annis	1700	FREE for members of the Rockstar Social Club. Otherwise, it can be purchased from Benny's Original Motor Works for $95,000. Since the vehicle is acquired for free, the Resale Price is only affected by the value of any optional modifications applied to the vehicle	65.64	0	September 17, 2013	2	Can be sold only if purchased (High-End)	0		81.56	Garage (Personal Vehicle)	1.01 Game Launch	152		Sports	
annis-re-7b.html	92.75	Legendary Motorsport	36.67			RWD	GTA Online - Next Gen	6	91.16	Annis	880		76.74	2475000	July 12, 2016	2	Can be sold only if purchased (High-End)	1485000		86.38	Garage (Personal Vehicle)	1.35 Cunning Stunts	161		Super	
annis-s80rr.html	93.13	Legendary Motorsport	41.67				GTA Online - Next Gen		100.00	Annis			80.46	2575000	July 23, 2019	1	Can be sold only if purchased (High-End)	1545000		87.06	Garage (Personal Vehicle)	1.47 Diamond Casino & Resort			Super	
annis-savestra.html	59.38	Legendary Motorsport	23.33			RWD	GTA Online - Next Gen	4	62.12	Annis	880		54.99	990000	January 2, 2018	2	Can be sold only if purchased (High-End)	594000		75.12	Garage (Personal Vehicle)	1.42 The Doomsday Heist	140		Sports Classic	Armed Vehicle
atomic-blimp.html	58.00	Cannot be acquired	100.00				Story Mode		100.00		12000	Pre-Order Bonus	76.67		September 17, 2013	4	Cannot be sold			48.69	Cannot be stored	1.01 Game Launch	160		Planes	
b-11-strikeforce.html	80.00	Warstock Cache & Carry	61.97				GTA Online - Next Gen		2.08		14000		55.38	3800000	August 7, 2018	1	Can be sold only if purchased (High-End)	2280000		77.46	Hangar (Personal Aircraft)	1.44 After Hours	329		Planes	Armed Vehicle
barrage.html	55.62	Warstock Cache & Carry	28.33		1595000	AWD	GTA Online - Next Gen	5	53.03		2500	*The discounted SecuroServ Trade Price becomes available after the player has completed the related Doomsday Heist Mission. Requires a Facility Property.	52.36	2121350	December 12, 2017	4	Can be sold only if purchased (High-End)	1272810		72.43	Garage (Personal Vehicle)	1.42 The Doomsday Heist	135		Military	Weaponized Vehicle, Armed Vehicle
benefactor-dubsta-6x6.html	70.00	Warstock Cache & Carry	20.00			AWD	All Editions	6	60.61	Benefactor	3500		56.03	249000	June 17, 2014	6	Can be sold only if purchased (High-End)	149400		73.51	Garage (Personal Vehicle)	1.14 I'm Not a Hipster	137		Off-Road, SUVs	
benefactor-dubsta.html	50.00	Can be stolen / found	26.67	FlyLo FM, Soulwax FM		AWD	All Editions	5	65.15	Benefactor	2400		54.23		September 17, 2013	4	Can be sold only if stolen		7000	75.12	Garage (Personal Vehicle)	1.01 Game Launch	140	Blacked-out Variant (Cannot be purchased)	SUVs	
benefactor-feltzer.html	85.00	Legendary Motorsport	26.67	Worldwide FM		RWD	All Editions	6	80.30	Benefactor	1450		68.52	145000	September 17, 2013	2	Can be sold only if purchased (High-End)	87000		82.09	Garage (Personal Vehicle)	1.01 Game Launch	153		Sports	
benefactor-glendale.html	58.75	Southern S.A. Super Autos, ArenaWar.tv	21.67	Worldwide FM	150000	RWD	All Editions	5	62.12	Benefactor	1600		55.35	200000	June 17, 2014	4	Can be sold only if purchased (High-End)	120000		78.87	Garage (Personal Vehicle)	1.14 I'm Not a Hipster	147		Sedans	
benefactor-panto.html	67.50	Southern S.A. Super Autos	20.00	Space 103.2, The Lowdown 91.1		RWD	All Editions	6	59.70	Benefactor	800		54.51	85000	June 17, 2014	2	Can be sold only if purchased (High-End)	51000		70.82	Garage (Personal Vehicle)	1.14 I'm Not a Hipster	132		Compacts	
benefactor-schafter-lwb-armored.html	46.25	Legendary Motorsport	27.33			RWD	GTA Online - Next Gen	5	77.27	Benefactor	2000		56.76	438000	December 15, 2015	4	Can be sold only if purchased (High-End)	262800		76.19	Garage (Personal Vehicle)	1.31 Executives and Other Criminals	142		Sedans	Armored Vehicle
benefactor-schafter-lwb.html	50.00	Legendary Motorsport	28.33			RWD	GTA Online - Next Gen	5	77.27	Benefactor	1850		57.95	208000	December 15, 2015	4	Can be sold only if purchased (High-End)	124800		76.19	Garage (Personal Vehicle)	1.31 Executives and Other Criminals	142		Sedans, Sports	
benefactor-schafter-v12-armored.html	72.50	Legendary Motorsport	30.67			RWD	GTA Online - Next Gen	6	77.27	Benefactor	1650		65.23	325000	December 15, 2015	4	Can be sold only if purchased (High-End)	195000		80.48	Garage (Personal Vehicle)	1.31 Executives and Other Criminals	150		Sedans	Armored Vehicle
benefactor-schafter-v12.html	75.00	Legendary Motorsport	31.67			RWD	GTA Online - Next Gen	6	77.27	Benefactor	1500		66.11	116000	December 15, 2015	4	Can be sold only if purchased (High-End)	69600		80.48	Garage (Personal Vehicle)	1.31 Executives and Other Criminals	150		Sedans, Sports	
benefactor-schafter.html	50.00	Can be stolen / found, Southern S.A. Super Autos	30.00	Non-Stop-Pop FM		RWD	All Editions	5	77.27	Benefactor	1600		58.77	65000	September 17, 2013	4	Can be sold if purchased or stolen	39000	6500	77.80	Garage (Personal Vehicle)	1.01 Game Launch	145		Sedans	
benefactor-schwartzer.html	72.50	Can be stolen / found, Southern S.A. Super Autos	30.00	Space 103.2, The Lowdown 91.1		RWD	All Editions	5	69.70	Benefactor	1400		62.77	80000	September 17, 2013	2	Can be sold if purchased or stolen	48000	8000	78.87	Garage (Personal Vehicle)	1.01 Game Launch	147		Sports	
benefactor-serrano.html	50.00	Can be stolen / found, Southern S.A. Super Autos	13.33	FlyLo FM, Soulwax FM		AWD	All Editions	6	63.64	Benefactor	2400	Previously only stealable, it was made also available for purchase in GTA Online on September 11, 2018	49.18	60000	September 17, 2013	4	Can be sold if purchased or stolen	36000	6000	69.75	Garage (Personal Vehicle)	1.01 Game Launch	130		SUVs	
benefactor-stirling-gt.html	75.00	Legendary Motorsport	26.67	Space 103.2, The Lowdown 91.1		RWD	All Editions	5	71.21	Benefactor	1330		61.73	975000	June 10, 2015	2	Can be sold only if purchased (High-End)	585000		74.04	Garage (Personal Vehicle)	1.27 Ill-Gotten Gains Part 1	138		Sports Classic	
benefactor-streiter.html	53.13	Southern S.A. Super Autos	26.67			AWD	GTA Online - Next Gen	6	63.03	Benefactor	2010		54.48	500000	December 22, 2017	4	Can be sold only if purchased (High-End)	300000		75.12	Garage (Personal Vehicle)	1.42 The Doomsday Heist	140		Sports	
benefactor-surano.html	85.00	Legendary Motorsport	33.33	East Los FM		RWD	All Editions	6	77.27	Benefactor	1600		69.69	100000	September 17, 2013	2	Can be sold only if purchased (High-End)	60000		83.17	Garage (Personal Vehicle)	1.01 Game Launch	155		Sports	Convertible (Soft-top)
benefactor-turretted-limo.html	67.50	Warstock Cache & Carry	26.67			RWD	GTA Online - Next Gen	4	65.91	Benefactor	3750		56.79	1650000	December 15, 2015	6	Cannot be sold			67.07	Pegasus Vehicle	1.31 Executives and Other Criminals	125		Sedans	Armed Vehicle
benefactor-xls-armored.html	66.25	Legendary Motorsport	19.67			AWD	GTA Online - Next Gen	6	62.12	Benefactor	3000		54.72	522000	June 7, 2016	4	Can be sold only if purchased (High-End)	313200		70.82	Garage (Personal Vehicle)	1.34 Further Adventures in Finance and Felony	132		SUVs	Armored Vehicle
benefactor-xls.html	65.00	Legendary Motorsport	19.33			AWD	GTA Online - Next Gen	6	60.61	Benefactor	2600		53.94	253000	June 7, 2016	4	Can be sold only if purchased (High-End)	151800		70.82	Garage (Personal Vehicle)	1.34 Further Adventures in Finance and Felony	132		SUVs	
bf-bifta.html	65.00	Southern S.A. Super Autos	23.33	FlyLo FM, Soulwax FM		RWD	All Editions	5	62.12	BF	1400		55.86	75000	November 19, 2013	2	Can be sold only if purchased (High-End)	45000		72.97	Garage (Personal Vehicle)	1.06 Beach Bum	136		Off-Road	
bf-dune-buggy.html	62.50	Southern S.A. Super Autos	21.00			RWD	All Editions	5	66.67	BF	1800		55.65	20000	September 17, 2013	2	Can be sold only if purchased (High-End)	12000		72.43	Garage (Personal Vehicle)	1.01 Game Launch	135		Off-Road	
bf-dune-fav.html	62.50	Warstock Cache & Carry	21.00		850000	RWD	GTA Online - Next Gen, C. E. Starter Pack	5	66.67	BF	1800	*The discounted SecuroServ Trade Price becomes available after the player has completed the related Mobile Operations Mission. FREE by purchasing the Criminal Enterprise Starter Pack.	55.65	1130500	June 13, 2017	2	Can be sold only if purchased (High-End)	678000		72.43	Garage (Personal Vehicle)	1.40 Gunrunning Pack	135		Off-Road	Weaponized Vehicle, Armed Vehicle
bf-injection.html	57.50	Can be stolen / found, Southern S.A. Super Autos	20.67	Channel X		RWD	All Editions	5	56.06	BF	1800		51.67	16000	September 17, 2013	2	Can be sold if purchased or stolen	9600	1600	72.43	Garage (Personal Vehicle)	1.01 Game Launch	130		Off-Road	
bf-ramp-buggy.html	80.00	Warstock Cache & Carry	33.33		2400000	RWD	GTA Online - Next Gen	6	85.92	BF	1000	*The discounted SecuroServ Trade Price becomes available after the player has completed the related Special Vehicle Work Mission. Requires a Vehicle Warehouse (vehicle stored in the Underground Garage).	69.94	3192000	December 13, 2016	2	Cannot be sold			80.48	Vehicle Warehouse (Special)	1.37 Import/Export	150		Off-Road	Special Vehicle
bf-raptor.html	73.75	Legendary Motorsport	40.00			RWD	GTA Online - Next Gen	6	78.79	BF	500		66.91	648000	October 11, 2016	2	Can be sold only if purchased (High-End)	388800		75.12	Garage (Personal Vehicle)	1.36 Bikers	140		Sports	
bf-surfer.html	25.00	Can be stolen / found, Southern S.A. Super Autos	10.00			RWD	All Editions	4	46.97	BF	2500		33.91	11000	September 17, 2013	2	Can be sold if purchased or stolen	6600	1100	53.66	Garage (Personal Vehicle)	1.01 Game Launch	100	Beater Variant (rusty - cannot be purchased)	Vans	
blimp.html	31.00	Elitas Travel	1.82		895000		GTA Online - Next Gen		7.45		12000	*The discounted SecuroServ Trade Price becomes available after the player has completed 10 Nightclub Management missions as a VIP, CEO or MC President.	22.24	1190350	July 31, 2018	4	Cannot be sold			48.69	Pegasus Vehicle	1.44 After Hours	160		Planes	
bmx.html	20.00	Can be stolen / found, Pedal and Metal Cycles	50.00			RWD	All Editions		28.03		105		31.21	800	September 17, 2013	1	Cannot be sold			26.83	Garage (Personal Vehicle)	1.01 Game Launch	50		Cycles	
bollokan-prairie.html	55.00	Can be stolen / found, Southern S.A. Super Autos	20.00	Worldwide FM		FWD	All Editions	5	59.09	Bollokan	1400	Previously only stealable, it was made also available for purchase in GTA Online on October 9, 2018	51.63	25000	September 17, 2013	2	Can be sold if purchased or stolen	15000	2500	72.43	Garage (Personal Vehicle)	1.01 Game Launch	135		Compacts	
bravado-banshee-900r.html	86.88	Benny's Original Motor Works	33.33			RWD	GTA Online - Next Gen	5	75.76	Bravado	1150	Obtained by upgrading the regular vehicle to the custom variant at Benny's Original Motor Works	69.11	565000	January 28, 2016	2	Can be sold only if purchased (High-End)	322050		80.48	Garage (Personal Vehicle)	1.32 January 2016	150		Super	Custom Vehicle
bravado-banshee-topless.html	85.00	Legendary Motorsport	33.33	Los Santos Rock Radio, Radio Mirror Park, Vinewood Boulevard Radio		RWD	All Editions	5	73.33	Bravado	1200		67.77	126000	September 17, 2013	2	Can be sold only if purchased (High-End)	75600		79.41	Garage (Personal Vehicle)	1.01 Game Launch	148		Sports	
bravado-banshee.html	85.00	Legendary Motorsport, Benny's Original Motor Works	33.33	Los Santos Rock Radio, Radio Mirror Park, Vinewood Boulevard Radio		RWD	All Editions, C. E. Starter Pack	5	73.33	Bravado	1200	FREE by purchasing the Criminal Enterprise Starter Pack.	67.77	105000	September 17, 2013	2	Can be sold only if purchased (High-End)	63000		79.41	Garage (Personal Vehicle)	1.01 Game Launch	148		Sports	
bravado-bison.html	50.00	Can be stolen / found, Southern S.A. Super Autos	20.00	FlyLo FM, Soulwax FM		AWD	All Editions	5	62.12	Bravado	2100		50.47	30000	September 17, 2013	6	Can be sold if purchased or stolen	18000	3000	69.75	Garage (Personal Vehicle)	1.01 Game Launch	130	Liveries: McGill-Olsen; The Mighty Bush (Cannot be purchased)	Vans	Towing Hitch
bravado-buffalo-s.html	72.50	Southern S.A. Super Autos	30.00	Radio Los Santos, The Lab, West Coast Classics		RWD	All Editions	5	74.24	Bravado	1650	Franklin's car	63.64	96000	September 17, 2013	4	Can be sold only if purchased (High-End)	57600		77.80	Garage (Personal Vehicle)	1.01 Game Launch	145		Sports	
bravado-buffalo-sprunk.html	77.50	Southern S.A. Super Autos	33.33			RWD	Next Gen, RP Bonus	5	74.24	Bravado	1550	Originally exclusive to Next Gen Single Player mode, was made available to all players in GTA Online with the Cunning Stunts Update. FREE for Returning Players.	65.99	535000	November 18, 2014	4	Can be sold only if purchased (High-End)	321000		78.87	Garage (Personal Vehicle)	1.18 Next Gen Release	147		Sports	
bravado-buffalo.html	67.50	Can be stolen / found, Southern S.A. Super Autos	30.00	Radio Los Santos, The Lab, West Coast Classics		RWD	All Editions	5	74.24	Bravado	1650		62.39	35000	September 17, 2013	4	Can be sold if purchased or stolen	21000	3500	77.80	Garage (Personal Vehicle)	1.01 Game Launch	145		Sports	
bravado-duneloader.html	42.50	Can be stolen / found	20.00			RWD	All Editions	4	51.52	Bravado	2100		45.27		September 17, 2013	2	Can be sold only if stolen		1500	67.07	Garage (Personal Vehicle)	1.01 Game Launch	100		Off-Road	
bravado-fib-buffalo.html	70.00	Cannot be acquired	30.00			RWD	All Editions	5	74.24	Bravado	1650		63.01		September 17, 2013	4	Cannot be sold			77.80	Cannot be stored	1.01 Game Launch	145		Emergency	
bravado-gauntlet-redwood.html	78.75	Southern S.A. Super Autos	30.00	Los Santos Rock Radio, Radio Mirror Park, Vinewood Boulevard Radio		RWD	Next Gen, RP Bonus	5	76.06	Bravado	1500	Originally exclusive to Next Gen Single Player mode, was made available to all players in GTA Online with the Cunning Stunts Update. FREE for Returning Players.	65.92	230000	November 18, 2014	2	Can be sold only if purchased (High-End)	138000		78.87	Garage (Personal Vehicle)	1.18 Next Gen Release	147		Muscle	
bravado-gauntlet.html	75.00	Can be stolen / found, Southern S.A. Super Autos	30.00	Channel X		RWD	All Editions	5	75.76	Bravado	1600		64.64	32000	September 17, 2013	2	Can be sold if purchased or stolen	19200	3200	77.80	Garage (Personal Vehicle)	1.01 Game Launch	145		Muscle	
bravado-gresley.html	50.00	Can be stolen / found, Southern S.A. Super Autos	20.00	FlyLo FM, Soulwax FM		AWD	All Editions	6	57.58	Bravado	2200		50.00	29000	September 17, 2013	4	Can be sold if purchased or stolen	17400	2900	72.43	Garage (Personal Vehicle)	1.01 Game Launch	135		SUVs	
bravado-half-track.html	40.00	Warstock Cache & Carry	6.67		1695000	RWD	GTA Online - Next Gen	4	69.70	Bravado	10000	*The discounted SecuroServ Trade Price becomes available after the player has completed the related Mobile Operations Mission.	39.15	2254350	June 13, 2017	3	Can be sold only if purchased (High-End)	1352610		40.24	Garage (Personal Vehicle)	1.40 Gunrunning Pack	75		Military	Weaponized Vehicle, Armed Vehicle, Armored Vehicle, Towing Hitch
bravado-paradise.html	42.50	Southern S.A. Super Autos	13.33			RWD	All Editions	5	59.09	Bravado	2500		46.17	25000	November 19, 2013	4	Can be sold only if purchased (High-End)	15000		69.75	Garage (Personal Vehicle)	1.06 Beach Bum	130	Different Artworks Liveries	Off-Road, Vans	
bravado-police-cruiser-buffalo.html	70.00	Cannot be acquired	30.00			RWD	Story Mode	5	72.73	Bravado	1650		62.63		September 17, 2013	4	Cannot be sold			77.80	Cannot be stored	1.01 Game Launch	145		Emergency	
bravado-rat-loader.html	55.00	Can be stolen / found, Southern S.A. Super Autos	13.33			RWD	All Editions	4	50.00	Bravado	1200		47.69	6000	September 17, 2013	2	Can be sold if purchased or stolen	3600	600	72.43	Garage (Personal Vehicle)	1.01 Game Launch	135		Muscle	
bravado-rat-truck.html	55.00	Southern S.A. Super Autos, ArenaWar.tv	13.33		28125	RWD	All Editions	4	50.00	Bravado	1200		47.69	37500	December 18, 2014	2	Can be sold only if purchased (High-End)	22500		72.43	Garage (Personal Vehicle)	1.19 Festive Surprise 2014	135		Muscle	
bravado-rumpo-custom.html	45.00	Southern S.A. Super Autos	10.00			AWD	GTA Online - Next Gen	5	60.61	Bravado	2250		46.34	130000	June 7, 2016	4	Can be sold only if purchased (High-End)	78000		69.75	Garage (Personal Vehicle)	1.34 Further Adventures in Finance and Felony	130		Vans	
bravado-rumpo.html	42.50	Can be stolen / found, Southern S.A. Super Autos	13.33			RWD	All Editions	5	59.09	Bravado	2500		46.17	13000	September 17, 2013	2	Can be sold if purchased or stolen	7800	1300	69.75	Garage (Personal Vehicle)	1.01 Game Launch	130	Weazel News Livery; Deludamol Livery	Vans	
bravado-verlierer.html	83.75	Legendary Motorsport	33.33	FlyLo FM, Soulwax FM		RWD	GTA Online - Next Gen	5	73.64	Bravado	1100		67.80	695000	December 15, 2015	2	Can be sold only if purchased (High-End)	417000		80.48	Garage (Personal Vehicle)	1.31 Executives and Other Criminals	150		Sports	
bravado-youga-classic.html	35.00	Southern S.A. Super Autos	10.00			RWD	GTA Online - Next Gen	5	54.55	Bravado	2500		40.98	135000	November 22, 2016	4	Can be sold only if purchased (High-End)	81000		64.39	Garage (Personal Vehicle)	1.36 Bikers	120		Vans	
bravado-youga.html	35.00	Can be stolen / found, Southern S.A. Super Autos	10.00	Los Santos Rock Radio, Radio Mirror Park, Vinewood Boulevard Radio		RWD	All Editions	5	54.55	Bravado	2500		40.98	16000	September 17, 2013	2	Can be sold if purchased or stolen	9600	1600	64.39	Garage (Personal Vehicle)	1.01 Game Launch	120		Vans	
bruiser-arena.html	65.00	ArenaWar.tv	16.67			RWD	GTA Online - Next Gen	5	53.03	Benefactor	6000	Obtained by upgrading the Glendale vehicle stock model to a custom variant at the Arena Workshop	51.11	1528550	December 11, 2018	4	Can be sold only if purchased (High-End)	917130		69.75	Garage (Personal Vehicle), Arena Workshop	1.46 Arena War	130	Apocalypse Bruiser; Future Shock Bruiser; Nightmare Bruiser	Off-Road	Custom Vehicle, Armed Vehicle, Arena Contender
brute-airport-bus.html	30.00	Warstock Cache & Carry	8.33			AWD	All Editions	4	43.94	Brute	9000		33.98	550000	September 17, 2013	16	Cannot be sold			53.66	Pegasus Vehicle	1.01 Game Launch	100		Service	
brute-ambulance.html	45.00	Cannot be acquired	20.00			AWD	All Editions	5	59.09	Brute	2500		49.80		September 17, 2013	4	Cannot be sold			75.12	Cannot be stored	1.01 Game Launch	140		Emergency	
brute-boxville-armored.html	80.00	Warstock Cache & Carry	11.67		2200000	RWD	GTA Online - Next Gen	5	65.91	Brute	7500	*The discounted SecuroServ Trade Price becomes available after the player has completed the related Special Vehicle Work Mission. Requires a Vehicle Warehouse (vehicle stored in the Underground Garage).	55.49	2926000	December 13, 2016	5	Cannot be sold			64.39	Vehicle Warehouse (Special)	1.37 Import/Export	120		Vans	Special Vehicle, Armed Vehicle, Armored Vehicle
brute-boxville.html	27.50	Warstock Cache & Carry	8.33		45000	RWD	All Editions	4	46.97	Brute	5500	*The discounted Price becomes available after the player has completed the related Heist Mission.	34.11	59850	September 17, 2013	4	Cannot be sold			53.66	Pegasus Vehicle	1.01 Game Launch	100	Liveries: LSDWP; Post OP; GoPostal; Humane (Cannot be purchased)	Vans	
brute-bus.html	30.00	Warstock Cache & Carry	11.67			AWD	All Editions	4	43.94	Brute	9000		34.82	500000	September 17, 2013	16	Cannot be sold			53.66	Pegasus Vehicle	1.01 Game Launch	100		Service	
brute-camper.html	30.00	Cannot be acquired	8.33			FWD	All Editions	4	45.45	Brute	4000		34.36		September 17, 2013	2	Cannot be sold			53.66	Cannot be stored	1.01 Game Launch	100		Vans	
brute-dashound.html	30.00	Warstock Cache & Carry	8.33			AWD	All Editions	4	43.94	Brute	8500		33.98	525000	September 17, 2013	10	Cannot be sold			53.66	Pegasus Vehicle	1.01 Game Launch	100		Service	
brute-police-riot.html	30.00	Cannot be acquired	8.33			RWD	All Editions	5	50.00	Brute	6500		38.18		September 17, 2013	8	Cannot be sold			64.39	Cannot be stored	1.01 Game Launch	120		Emergency	Armored Vehicle
brute-pony.html	40.00	Cannot be acquired	20.00	FlyLo FM, Soulwax FM		RWD	All Editions	5	59.09	Brute	2500		47.21		September 17, 2013	4	Cannot be sold			69.75	Cannot be stored	1.01 Game Launch	130	GoPostal Livery; Smoke On The Water Livery	Vans	
brute-rental-shuttle-bus.html	30.00	Warstock Cache & Carry	8.33			RWD	All Editions	4	46.97	Brute	5500		36.08	30000	September 17, 2013	10	Cannot be sold			59.02	Pegasus Vehicle	1.01 Game Launch	110		Service	
brute-stockade.html	30.00	Cannot be acquired	8.33			RWD	All Editions	5	50.00	Brute	6500	Also known as Armored Truck or Security Van	38.18		September 17, 2013	4	Cannot be sold			64.39	Cannot be stored	1.01 Game Launch	120	Bobcat Security Variant (North Yankton - cannot be purchased)	Commercial	Armored Vehicle
brute-taco-van.html	27.50	Cannot be acquired	8.33	East Los FM, The Blue Ark		RWD	All Editions	4	46.97	Brute	5500		34.11		September 17, 2013	1	Cannot be sold			53.66	Cannot be stored	1.01 Game Launch	100		Vans	
brute-tipper-2.html	27.50	Cannot be acquired	8.33			RWD	All Editions	4	48.48	Brute	5500		34.49		September 17, 2013	2	Cannot be sold			53.66	Cannot be stored	1.01 Game Launch	100		Industrial	
brute-tipper.html	27.50	Cannot be acquired	8.33			RWD	All Editions	4	48.48	Brute	5500		34.49		September 17, 2013	2	Cannot be sold			53.66	Cannot be stored	1.01 Game Launch	100		Industrial	
